regime_kind,regime,model,sharpe_net,sharpe_gross,mean_return,mean_ret_pct_pm,max_dd_pct,skew,kurt,n_months
full,all,OLS-3,-0.001955120402356666,0.0013202988964628967,-0.0009197860789471781,-0.09197860789471782,251.81823990506697,0.15140587294871427,0.15070316680313667,111
nber,recession,OLS-3,,,,,,,,3
nber,expansion,OLS-3,-0.12215477328765285,-0.1187660141426429,-0.05552988417919234,-5.552988417919234,251.81823990506697,0.06833808646406295,0.23457608173272249,108
vix,low_vix,OLS-3,0.2230417950216262,0.22600816119465253,0.11655711594086103,11.655711594086103,251.81823990506697,0.45557197274600586,0.07419329334799274,47
vix,mid_vix,OLS-3,0.18602763592785393,0.1897121278580447,0.0784488968993353,7.84488968993353,6692.47779380331,-0.31108084596191937,-0.6624715591120398,28
vix,high_vix,OLS-3,-0.5066497855566636,-0.5031061504510319,-0.21602360603236104,-21.602360603236104,124.65013751746758,-0.3852644351439414,-0.13596589619870914,36
decade,2010s,OLS-3,-0.7333147646550855,-0.7294790234588368,-0.29290363629908195,-29.290363629908196,251.81823990506697,-0.5228189871963307,-0.6692624783381835,36
decade,2020s,OLS-3,0.2807585400191307,0.28387670763141276,0.13923246202671755,13.923246202671754,16441.546422544667,0.23826082807127602,0.04447069299543838,75
full,all,ENet+H,-0.0010986204391091642,0.0013202988964627854,-0.0007050799095799677,-0.07050799095799677,423.0764550077407,0.15146008460721724,0.15078066774555454,111
nber,recession,ENet+H,,,,,,,,3
nber,expansion,ENet+H,-0.12127232276505429,-0.1187660141426429,-0.07520643166362409,-7.520643166362409,37327.55907059646,0.06839429740497252,0.23466476688418902,108
vix,low_vix,ENet+H,0.22382308990429106,0.2260081611946524,0.15956523588323288,15.956523588323288,398.56038169473214,0.45562309592541134,0.07425928891449418,47
vix,mid_vix,ENet+H,0.187025322838242,0.1897121278580446,0.10759358443556831,10.759358443556831,58890.986342687815,-0.311101326321865,-0.6624088648541444,28
vix,high_vix,ENet+H,-0.5057651445894031,-0.5031061504510319,-0.29417917557420115,-29.417917557420115,23053.683761994667,-0.3852250849195711,-0.13600820745070408,36
decade,2010s,ENet+H,-0.7322999878881569,-0.7294790234588366,-0.39902826537380776,-39.902826537380776,398.56038169473214,-0.5228161265690884,-0.66914928191474,36
decade,2020s,ENet+H,0.2815712664750433,0.2838767076314128,0.19049004911324924,19.049004911324925,17620.234341783475,0.23833607965394,0.04452789618216535,75
full,all,PCR,-0.0015851709128292275,0.001320298896462596,-0.0008464620924984681,-0.08464620924984681,8561.701306618868,0.1514341387721588,0.15074703979862836,111
nber,recession,PCR,,,,,,,,3
nber,expansion,PCR,-0.12177217090701782,-0.11876601414264287,-0.06283207968913154,-6.283207968913154,285.83997311526826,0.06836066184111882,0.2346292755855437,108
vix,low_vix,PCR,0.22333163922884677,0.2260081611946525,0.1324723606875627,13.247236068756271,285.83997311526826,0.45557619100259367,0.07434154551132455,47
vix,mid_vix,PCR,0.18650353724934504,0.1897121278580446,0.08927515624969025,8.927515624969026,17489.32117405004,-0.3111142047391294,-0.6624673170515152,28
vix,high_vix,PCR,-0.5062537004304146,-0.5031061504510319,-0.24499618387705857,-24.49961838770586,422.90487768039196,-0.3852236084432456,-0.13612002071719376,36
decade,2010s,PCR,-0.7329527966159086,-0.7294790234588369,-0.33230684971650093,-33.23068497165009,285.83997311526826,-0.522861163094958,-0.6691348211392558,36
